song_popularity,song_duration_ms,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,audio_mode,speechiness,tempo,time_signature,audio_valence,album_names,playlist,Artist_and_Track_Name
78,243026,0.631,0.443,0.403,0.0,0,0.111,-8.339,1,0.0322,143.46200000000005,4,0.41,Let It Be (Remastered),70s Rock Anthems,The Beatles - Let It Be - Remastered 2009
79,266960,0.388,0.307,0.433,9.08e-05,1,0.332,-10.057,1,0.029,160.9,4,0.224,Aerosmith,70s Rock Anthems,Aerosmith - Dream On
83,208400,0.0591,0.573,0.913,0.00173,6,0.156,-4.793,0,0.132,115.715,4,0.422,Highway to Hell,70s Rock Anthems,AC/DC - Highway to Hell
69,221640,0.0607,0.6990000000000001,0.502,0.0337,9,0.317,-12.526,1,0.0278,105.266,4,0.6759999999999999,Slowhand 35th Anniversary (Super Deluxe),70s Rock Anthems,Eric Clapton - Cocaine
67,226666,0.0726,0.322,0.265,0.34,2,0.366,-13.398,1,0.0302,133.577,4,0.207,The Dark Side of the Moon,70s Rock Anthems,Pink Floyd - Brain Damage
75,382296,0.15,0.472,0.366,0.308,11,0.0837,-12.595,0,0.0286,127.167,4,0.171,The Wall,70s Rock Anthems,Pink Floyd - Comfortably Numb
71,269920,0.0050100000000000006,0.27,0.944,2.05e-05,4,0.116,-4.199,1,0.0975,146.347,4,0.606,Born To Run,70s Rock Anthems,Bruce Springsteen - Born to Run
47,511293,0.233,0.685,0.8059999999999999,0.728,2,0.105,-12.151,1,0.0497,134.889,4,0.31,Thirty Years Of Maximum R&B,70s Rock Anthems,The Who - Won't Get Fooled Again - Original Album Version
71,220400,0.0114,0.653,0.73,1.03e-05,5,0.0754,-10.613,1,0.043,108.705,4,0.894,Toys In The Attic,70s Rock Anthems,Aerosmith - Walk This Way
80,281613,0.386,0.602,0.522,1.44e-05,10,0.0941,-9.031,1,0.0285,136.637,4,0.36,Honky Chateau,70s Rock Anthems,"Elton John - Rocket Man (I Think It's Going To Be A Long, Long Time)"
63,192145,0.937,0.617,0.0457,0.6409999999999999,0,0.0991,-26.401,1,0.0344,99.48,4,0.0967,The Wall,70s Rock Anthems,"Pink Floyd - Another Brick in the Wall, Pt. 1"
72,200579,0.499,0.611,0.35,7.84e-06,5,0.0844,-14.48,1,0.0356,76.064,4,0.36,Sweet Baby James,70s Rock Anthems,James Taylor - Fire And Rain
75,300000,0.287,0.494,0.722,0.18600000000000005,5,0.28300000000000003,-8.373,1,0.0347,117.312,4,0.156,Who's Next,70s Rock Anthems,The Who - Baba O'Riley
73,322548,0.238,0.6679999999999999,0.6779999999999999,6.29e-06,0,0.527,-8.015,1,0.0496,132.584,4,0.778,Goodbye Yellow Brick Road (Remastered),70s Rock Anthems,Elton John - Bennie And The Jets - Remastered 2014
54,390146,0.201,0.225,0.889,0.7340000000000001,7,0.379,-4.371,1,0.0337,96.02,4,0.599,Born To Run,70s Rock Anthems,Bruce Springsteen - Backstreets
