Artist_and_Track_Name,All_Streams,Position
XXXTENTACION - Everybody Dies In Their Nightmares,50581983,216
Snakehips - Don't Leave,50452223,217
NAV - Myself,49835866,218
Eminem - 'Till I Collapse,49690373,219
Zion & Lennox - Otra Vez (feat. J Balvin),49526158,220
Sean Paul - No Lie,49484600,221
Lord Huron - The Night We Met,49301430,222
Ed Sheeran - Dive,49094594,223
Migos - Get Right Witcha,48956386,224
Lil Uzi Vert - Sauce It Up,48830764,225
Bausa - Was Du Liebe nennst,48302141,226
Metro Boomin - No Complaints,48254694,227
Bebe Rexha - I Got You,48214177,228
J. Cole - Deja Vu,47867509,229
Kodak Black - Transportin',47739983,230
Alan Walker - Alone,47568631,231
Charlie Puth - We Don't Talk Anymore (feat. Selena Gomez),47215937,232
Chris Jeday - Ahora Dice,47069916,233
Tay-K - The Race,47039139,234
Olivia Holt - History,46790054,235
J Balvin - Mi Gente (feat. Beyoncé),45961958,236
YFN Lucci - Everyday We Lit (feat. PnB Rock),45300321,237
OneRepublic - No Vacancy,45158701,238
Mike Posner - I Took A Pill In Ibiza - Seeb Remix,44946149,239
Luke Christopher - Lot to Learn,44763176,240
The Chainsmokers - The One,44677142,241
Imagine Dragons - Whatever It Takes,44533589,242
John Legend - Love Me Now,43960645,243
Thomas Rhett - Unforgettable,43712839,244
SZA - The Weekend,43700990,245
Kendrick Lamar - XXX. FEAT. U2.,43046380,246
"Lil Wayne - Sucker For Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)",43040944,247
Chris Brown - Questions,42851917,248
Little Mix - Touch,42822990,249
Kodak Black - No Flockin,42705849,250
Bonez MC - Ohne mein Team,42574100,251
Miguel - Sky Walker,42431676,252
Thomas Rhett - Craving You,42102892,253
ItaloBrothers - Summer Air,41946427,254
LANY - Super Far,41849868,255
Luis Fonsi - Échame La Culpa,41825135,256
Isaiah - It's Gotta Be You,41775017,257
The Weeknd - Reminder,41525297,258
Daddy Yankee - La Rompe Corazones,41520976,259
Drake - Free Smoke,41444316,260
G-Eazy - Him & I (with Halsey),41314625,261
Rag'n'Bone Man - Human,40928416,262
Drake - Blem,40755453,263
"PnB Rock - Horses (with PnB Rock, Kodak Black & A Boogie Wit da Hoodie)",40750218,264
Fifth Harmony - Down,40567320,265
Niall Horan - Too Much To Ask,40359783,266
Rae Sremmurd - Perplexing Pegasus,40142999,267
Sia - Cheap Thrills,39963265,268
Piso 21 - Me Llamas (feat. Maluma) - Remix,39890082,269
Ed Sheeran - Thinking Out Loud,39848258,270
Clean Bandit - I Miss You (feat. Julia Michaels),39694734,271
"Anuel Aa - Sola (Remix) [feat. Daddy Yankee, Wisin, Farruko, Zion & Lennox]",39603004,272
Ozuna - Se Preparó,39570806,273
Kodak Black - Too Many Years,39499458,274
Drake - Controlla,39472453,275
Calvin Harris - My Way,39441380,276
21 Savage - Ghostface Killers,39283926,277
Ed Sheeran - Perfect Duet (Ed Sheeran & Beyoncé),39175002,278
6LACK - Ex Calling,38912928,279
Macklemore - Good Old Days (feat. Kesha),38548409,280
Drake - Teenage Fever,38507635,281
Rag'n'Bone Man - Skin,38468501,282
Twenty One Pilots - Stressed Out,38119781,283
Rihanna - Needed Me,38001939,284
J Balvin - Bonita,37424759,285
CNCO - Hey DJ,37203492,286
Jonas Blue - By Your Side,36954591,287
Lauv - The Other,36920059,288
blackbear - do re mi (feat. Gucci Mane),36853558,289
Dustin Lynch - Small Town Boy,36673320,290
Nebu Kiniza - Gassed Up,36410907,291
Eminem - Lose Yourself - Soundtrack Version,36376776,292
Flo Rida - Cake,36298013,293
Marian Hill - Down,36136900,294
Fifth Harmony - Work from Home,35994315,295
Nimo - Heute mit mir,35725598,296
Natti Natasha - Criminal,35576319,297
"Lorde - Homemade Dynamite (Feat. Khalid, Post Malone & SZA) - REMIX",35238560,298
Kendrick Lamar - YAH.,35174776,299
Becky G - Mayores,35147238,300
PARTYNEXTDOOR - Come and See Me (feat. Drake),35096263,301
